縣市,統計期,業者名稱,類別,基地臺
桃園市,1150531,台灣大哥大股份有限公司,5G,1841
桃園市,1150531,遠傳電信股份有限公司,5G,1581
高雄市,1150531,中華電信股份有限公司,5G,2704
高雄市,1150531,中華電信股份有限公司,4G,2735
高雄市,1150531,台灣大哥大股份有限公司,4G,1914
高雄市,1150531,遠傳電信股份有限公司,5G,2060
高雄市,1150531,台灣大哥大股份有限公司,5G,2156
高雄市,1150531,遠傳電信股份有限公司,4G,1725
基隆市,1150531,台灣大哥大股份有限公司,5G,257
基隆市,1150531,中華電信股份有限公司,4G,314
基隆市,1150531,台灣大哥大股份有限公司,4G,217
基隆市,1150531,遠傳電信股份有限公司,5G,330
基隆市,1150531,中華電信股份有限公司,5G,374
基隆市,1150531,遠傳電信股份有限公司,4G,280
連江縣,1150531,台灣大哥大股份有限公司,5G,40
連江縣,1150531,台灣大哥大股份有限公司,4G,26
連江縣,1150531,中華電信股份有限公司,4G,91
連江縣,1150531,遠傳電信股份有限公司,4G,28
連江縣,1150531,中華電信股份有限公司,5G,73
連江縣,1150531,遠傳電信股份有限公司,5G,41
雲林縣,1150531,遠傳電信股份有限公司,4G,541
雲林縣,1150531,台灣大哥大股份有限公司,5G,551
雲林縣,1150531,台灣大哥大股份有限公司,4G,489
雲林縣,1150531,中華電信股份有限公司,4G,860
雲林縣,1150531,中華電信股份有限公司,5G,909
雲林縣,1150531,遠傳電信股份有限公司,5G,547
新北市,1150531,台灣大哥大股份有限公司,4G,2308
新北市,1150531,中華電信股份有限公司,5G,3065
新北市,1150531,中華電信股份有限公司,4G,2427
新北市,1150531,遠傳電信股份有限公司,5G,2253
新北市,1150531,台灣大哥大股份有限公司,5G,2732
新北市,1150531,遠傳電信股份有限公司,4G,1898
新竹市,1150531,中華電信股份有限公司,5G,542
新竹市,1150531,遠傳電信股份有限公司,5G,486
新竹市,1150531,中華電信股份有限公司,4G,403
新竹市,1150531,台灣大哥大股份有限公司,4G,287
新竹市,1150531,遠傳電信股份有限公司,4G,342
新竹市,1150531,台灣大哥大股份有限公司,5G,422
新竹縣,1150531,遠傳電信股份有限公司,4G,466
新竹縣,1150531,中華電信股份有限公司,5G,966
新竹縣,1150531,遠傳電信股份有限公司,5G,711
新竹縣,1150531,中華電信股份有限公司,4G,981
新竹縣,1150531,台灣大哥大股份有限公司,4G,589
新竹縣,1150531,台灣大哥大股份有限公司,5G,582
嘉義市,1150531,中華電信股份有限公司,5G,261
嘉義市,1150531,台灣大哥大股份有限公司,5G,177
嘉義市,1150531,台灣大哥大股份有限公司,4G,157
嘉義市,1150531,遠傳電信股份有限公司,4G,135
嘉義市,1150531,中華電信股份有限公司,4G,208
嘉義市,1150531,遠傳電信股份有限公司,5G,182
嘉義縣,1150531,中華電信股份有限公司,4G,813
嘉義縣,1150531,遠傳電信股份有限公司,4G,448
嘉義縣,1150531,台灣大哥大股份有限公司,5G,454
嘉義縣,1150531,中華電信股份有限公司,5G,785
嘉義縣,1150531,遠傳電信股份有限公司,5G,500
嘉義縣,1150531,台灣大哥大股份有限公司,4G,496
彰化縣,1150531,中華電信股份有限公司,4G,1123
彰化縣,1150531,台灣大哥大股份有限公司,5G,849
彰化縣,1150531,中華電信股份有限公司,5G,1326
彰化縣,1150531,台灣大哥大股份有限公司,4G,773
彰化縣,1150531,遠傳電信股份有限公司,5G,765
彰化縣,1150531,遠傳電信股份有限公司,4G,809
臺中市,1150531,台灣大哥大股份有限公司,4G,2473
臺中市,1150531,遠傳電信股份有限公司,4G,2404
臺中市,1150531,中華電信股份有限公司,5G,2973
臺中市,1150531,中華電信股份有限公司,4G,2779
臺中市,1150531,台灣大哥大股份有限公司,5G,2798
臺中市,1150531,遠傳電信股份有限公司,5G,2587
臺北市,1150531,遠傳電信股份有限公司,4G,2225
臺北市,1150531,台灣大哥大股份有限公司,4G,1863
臺北市,1150531,中華電信股份有限公司,5G,2709
臺北市,1150531,台灣大哥大股份有限公司,5G,2177
臺北市,1150531,中華電信股份有限公司,4G,2057
臺北市,1150531,遠傳電信股份有限公司,5G,2303
臺東縣,1150531,中華電信股份有限公司,5G,414
臺東縣,1150531,中華電信股份有限公司,4G,518
臺東縣,1150531,遠傳電信股份有限公司,4G,358
臺東縣,1150531,台灣大哥大股份有限公司,5G,282
臺東縣,1150531,台灣大哥大股份有限公司,4G,394
臺東縣,1150531,遠傳電信股份有限公司,5G,296
臺南市,1150531,中華電信股份有限公司,5G,1728
臺南市,1150531,中華電信股份有限公司,4G,1938
臺南市,1150531,遠傳電信股份有限公司,4G,1157
臺南市,1150531,台灣大哥大股份有限公司,4G,1443
臺南市,1150531,台灣大哥大股份有限公司,5G,1688
臺南市,1150531,遠傳電信股份有限公司,5G,1435
澎湖縣,1150531,中華電信股份有限公司,4G,178
澎湖縣,1150531,遠傳電信股份有限公司,5G,123
澎湖縣,1150531,台灣大哥大股份有限公司,4G,128
澎湖縣,1150531,台灣大哥大股份有限公司,5G,125
澎湖縣,1150531,中華電信股份有限公司,5G,170
