"Ministry","Area","Agency","Name","Address","Administration","Latitude","Longitude"
"交通部","嘉義縣","中華郵政股份有限公司","中正大學郵局","621嘉義縣民雄鄉三興村160號","洽公場所","23.5581710","120.4725640"
"交通部","新北市","中華郵政股份有限公司","中和大華郵局","235新北市中和區中興街132號","洽公場所","24.9918930","121.4997670"
"交通部","新北市","中華郵政股份有限公司","中和中山路郵局","235新北市中和區中山路二段362號","洽公場所","25.0029340","121.4925620"
"交通部","新北市","中華郵政股份有限公司","中和中正路郵局","235新北市中和區中正路277號1樓","洽公場所","24.9937510","121.4950970"
"交通部","新北市","中華郵政股份有限公司","中和民富街郵局","235新北市中和區中山路三段110號","洽公場所","25.0063800","121.4767610"
"交通部","新北市","中華郵政股份有限公司","中和秀山郵局","235新北市中和區自立路147號","洽公場所","24.9931370","121.5226250"
"交通部","新北市","中華郵政股份有限公司","中和宜安郵局","235新北市中和區宜安路99號","洽公場所","24.9976630","121.5104200"
"交通部","新北市","中華郵政股份有限公司","中和南勢角郵局","235新北市中和區景新街442號","洽公場所","24.9880910","121.5131550"
"交通部","新北市","中華郵政股份有限公司","中和泰和街郵局","235新北市中和區泰和街6號","洽公場所","25.0011850","121.4998950"
"交通部","新北市","中華郵政股份有限公司","中和國光街郵局","235新北市中和區國光街159號1樓","洽公場所","25.0011850","121.4685880"
"交通部","新北市","中華郵政股份有限公司","中和連城路郵局","235新北市中和區連城路192-1號","洽公場所","24.9968570","121.4923100"
"交通部","新北市","中華郵政股份有限公司","中和郵局","235新北市中和區民樂路17號","洽公場所","25.0012270","121.4823190"
"交通部","新北市","中華郵政股份有限公司","中和興南郵局","235新北市中和區南山路320巷7號","洽公場所","24.9864030","121.5066030"
"交通部","臺北市","中華郵政股份有限公司","中研院郵局","115臺北市南港區研究院路二段108號","洽公場所","25.0428910","121.6165030"
"交通部","桃園市","中華郵政股份有限公司","中原大學郵局","320桃園市中壢區普忠里普仁22號","洽公場所","24.9560790","121.2441590"
"交通部","嘉義縣","中華郵政股份有限公司","中埔後庄郵局","606嘉義縣中埔鄉和興村中華路889號","洽公場所","23.4358400","120.4512930"
"交通部","嘉義縣","中華郵政股份有限公司","中埔郵局","606嘉義縣中埔鄉中埔村167號","洽公場所","23.4247070","120.5231220"
"交通部","南投縣","中華郵政股份有限公司","中寮郵局","541南投縣中寮鄉永平村永平路133號","洽公場所","23.8783220","120.7688610"
"交通部","南投縣","中華郵政股份有限公司","中寮龍安郵局","541南投縣中寮鄉龍安村龍南路45-12號","洽公場所","23.9417330","120.7780630"
"交通部","桃園市","中華郵政股份有限公司","中壢大崙郵局","320桃園市中壢區中正路四段85、87號","洽公場所","24.9883860","121.1803870"
"交通部","桃園市","中華郵政股份有限公司","中壢仁美郵局","320桃園市中壢區龍文街29號","洽公場所","24.9336410","121.2551740"
"交通部","桃園市","中華郵政股份有限公司","中壢內壢郵局","320桃園市中壢區忠勤街25號","洽公場所","24.9744350","121.2557180"
"交通部","桃園市","中華郵政股份有限公司","中壢自立郵局","320桃園市中壢區莊敬路856號1樓","洽公場所","24.9636360","121.2537090"
"交通部","桃園市","中華郵政股份有限公司","中壢志廣郵局","320桃園市中壢區中央西路二段271、273號","洽公場所","24.9614360","121.2115390"
"交通部","桃園市","中華郵政股份有限公司","中壢忠義郵局","320桃園市中壢區中華路一段905、907號","洽公場所","24.9666600","121.2443350"
